element_type,osm_id,name,lat,lon,distance_m,cde_category,cde_label,tags_str,within_50m,within_100m,within_250m,within_500m
way,657133561,,27.1071099,57.0816435,345.8,unknown,Unknown / unclassified,,False,False,False,True
way,657133571,,27.1064427,57.0797031,547.7,unknown,Unknown / unclassified,,False,False,False,False
way,657133572,,27.1063465,57.0803339,500.7,unknown,Unknown / unclassified,,False,False,False,False
way,657133573,,27.1061426,57.080224,522.7,unknown,Unknown / unclassified,,False,False,False,False
way,657133574,,27.1061483,57.0810175,461.1,unknown,Unknown / unclassified,,False,False,False,True
way,709553071,,27.1093117,57.0876157,312.4,unknown,Unknown / unclassified,highway=primary_link,False,False,False,True
way,709553072,,27.1070123,57.0854101,229.9,unknown,Unknown / unclassified,highway=primary_link,False,False,True,True
way,881526279,دانش,27.1031703,57.0878985,722.0,infrastructure_access,Infrastructure / access,highway=tertiary; name=دانش; oneway=yes,False,False,False,False
way,881526281,قائم,27.1074355,57.0863603,247.3,infrastructure_access,Infrastructure / access,highway=tertiary; name=قائم; oneway=yes,False,False,True,True
way,942758506,,27.1072852,57.086265,252.0,infrastructure_access,Infrastructure / access,highway=tertiary; oneway=yes,False,False,False,True
way,942758507,پارک لاله,27.1045234,57.083426,499.2,unknown,Unknown / unclassified,leisure=park; name=پارک لاله,False,False,False,True
way,942758508,اداره جهاد کشاورزی میناب,27.1087591,57.0878143,329.3,government_institutional,Government / institutional,building=yes; name=اداره جهاد کشاورزی میناب; office=government,False,False,False,True
way,942758509,آهن آلات و مصالح ساختمانی محمودی,27.1093904,57.0866726,222.4,civilian_general,Civilian general,building=yes; name=آهن آلات و مصالح ساختمانی محمودی; shop=yes,False,False,True,True
way,942760673,پادگان سید الشهدا-عاصف,27.1082942,57.0848474,77.2,military_security,Military / security,landuse=military; military=range; name=پادگان سید الشهدا-عاصف,False,True,True,True
way,944483950,,27.1075273,57.0861286,223.5,unknown,Unknown / unclassified,landuse=grass,False,False,True,True
relation,8794901,جاده ۹۱,30.3521239,57.7846742,367227.6,unknown,Unknown / unclassified,distance=1720; from=Feyzabad; name=جاده ۹۱; name:en=Road 91; network=ir:national; ref=91; ref:fa=۹۱; route=road; to=Jask; type=route,False,False,False,False
