element_type,osm_id,name,lat,lon,distance_m,cde_category,cde_label,tags_str,within_50m,within_100m,within_250m,within_500m
node,13621001973,,27.1086339,57.0847616,40.8,unknown,Unknown / unclassified,,True,True,True,True
node,13621001974,,27.1086063,57.0847352,41.6,unknown,Unknown / unclassified,,True,True,True,True
node,13621001975,,27.1086448,57.0846842,35.3,unknown,Unknown / unclassified,,True,True,True,True
node,13621126067,,27.1073988,57.0840391,174.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621126068,,27.1077046,57.0843236,135.2,unknown,Unknown / unclassified,,False,False,True,True
node,13621126069,,27.1077983,57.0842004,127.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621126070,,27.1067563,57.0849441,243.8,unknown,Unknown / unclassified,barrier=block,False,False,True,True
node,13621126071,,27.1083445,57.0864252,201.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621126072,,27.1074477,57.0856051,196.6,unknown,Unknown / unclassified,barrier=block,False,False,True,True
node,13621126073,,27.1066476,57.0849579,255.9,unknown,Unknown / unclassified,,False,False,False,True
node,13621126074,,27.1063467,57.0846692,285.7,unknown,Unknown / unclassified,,False,False,False,True
node,13621126075,,27.1073939,57.0853773,190.2,unknown,Unknown / unclassified,,False,False,True,True
node,13621126076,,27.1071836,57.0851831,204.0,unknown,Unknown / unclassified,,False,False,True,True
node,13621126077,,27.1077197,57.0851651,148.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621126078,,27.1075961,57.0848134,149.7,unknown,Unknown / unclassified,,False,False,True,True
node,13621126079,,27.1075304,57.0848967,158.7,unknown,Unknown / unclassified,,False,False,True,True
node,13621126080,,27.1075884,57.0849544,154.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621126081,,27.1077303,57.0849304,138.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621126082,,27.1077686,57.0850187,137.4,unknown,Unknown / unclassified,,False,False,True,True
node,13621126083,,27.1077907,57.084991,134.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621126084,,27.1074883,57.0850814,168.7,unknown,Unknown / unclassified,,False,False,True,True
node,13621126085,,27.1075125,57.0851056,167.0,unknown,Unknown / unclassified,,False,False,True,True
node,13621126086,,27.1074505,57.085184,176.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621126087,,27.1075768,57.0853101,169.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621126088,,27.1076282,57.0852451,161.0,unknown,Unknown / unclassified,,False,False,True,True
node,13621126089,,27.1078478,57.0843239,119.4,infrastructure_access,Infrastructure / access,barrier=gate,False,False,True,True
node,13621126090,,27.1074101,57.0845789,167.2,unknown,Unknown / unclassified,,False,False,True,True
node,13621126091,,27.1073457,57.0845185,174.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621126092,,27.1073312,57.0846845,176.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621126093,,27.1072807,57.0847514,183.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621126094,,27.1069639,57.0840274,221.4,unknown,Unknown / unclassified,,False,False,True,True
node,13621126095,,27.1070936,57.0837821,214.0,unknown,Unknown / unclassified,,False,False,True,True
node,13621126096,,27.1069588,57.0836501,232.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621126097,,27.1070169,57.0835752,229.4,unknown,Unknown / unclassified,,False,False,True,True
node,13621126098,,27.1071517,57.0837071,210.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621126099,,27.108034,57.0846885,99.5,unknown,Unknown / unclassified,,False,True,True,True
node,13621126100,,27.1079328,57.0848159,113.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621203001,,27.1078687,57.0847516,118.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621203002,,27.1079698,57.0846242,105.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621203003,,27.1078786,57.0846643,116.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621203004,,27.1078118,57.0847557,125.0,unknown,Unknown / unclassified,,False,False,True,True
node,13621203005,,27.1078374,57.0847793,122.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621203006,,27.1079042,57.0846879,113.7,unknown,Unknown / unclassified,,False,False,True,True
node,13621203007,,27.1078072,57.0850285,133.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621203008,,27.107969,57.0851871,125.4,unknown,Unknown / unclassified,,False,False,True,True
node,13621203009,,27.1082364,57.0848451,82.8,unknown,Unknown / unclassified,,False,True,True,True
node,13621203010,,27.1080321,57.0846372,98.8,unknown,Unknown / unclassified,,False,True,True,True
node,13621203011,,27.1081275,57.0845188,87.2,unknown,Unknown / unclassified,,False,True,True,True
node,13621203012,,27.1080548,57.0850774,111.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621203013,,27.108239,57.0852586,106.6,unknown,Unknown / unclassified,,False,False,True,True
node,13621203014,,27.1083722,57.0850731,83.1,unknown,Unknown / unclassified,,False,True,True,True
node,13621203015,,27.1083941,57.0850223,77.9,unknown,Unknown / unclassified,,False,True,True,True
node,13621203016,,27.1084966,57.0848721,59.6,unknown,Unknown / unclassified,,False,True,True,True
node,13621203017,,27.1086798,57.0853081,84.8,unknown,Unknown / unclassified,,False,True,True,True
node,13621203018,,27.107804,57.0840865,129.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621203019,,27.1079668,57.084365,105.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621203020,,27.1078801,57.0842807,116.6,unknown,Unknown / unclassified,,False,False,True,True
node,13621203021,,27.1078519,57.0841322,123.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621203022,,27.1071146,57.0834242,226.0,unknown,Unknown / unclassified,,False,False,True,True
node,13621203023,,27.1077552,57.0840524,135.7,unknown,Unknown / unclassified,,False,False,True,True
node,13621203024,,27.1074033,57.0837073,184.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621203025,,27.1086598,57.0850386,61.0,unknown,Unknown / unclassified,,False,True,True,True
node,13621203026,,27.1087041,57.0859959,150.7,unknown,Unknown / unclassified,,False,False,True,True
node,13621203027,,27.1082409,57.0846273,75.8,unknown,Unknown / unclassified,,False,True,True,True
node,13621203028,,27.1082896,57.0845611,69.5,unknown,Unknown / unclassified,,False,True,True,True
node,13621203029,,27.1086884,57.0854389,97.0,unknown,Unknown / unclassified,,False,True,True,True
node,13621203030,,27.1084426,57.0863299,189.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621203031,,27.1084211,57.0863565,192.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621203032,,27.1084523,57.0863883,194.6,unknown,Unknown / unclassified,,False,False,True,True
node,13621203033,,27.1084738,57.0863616,191.4,unknown,Unknown / unclassified,,False,False,True,True
node,13621203034,,27.1089556,57.0846269,14.3,unknown,Unknown / unclassified,,True,True,True,True
node,13621203035,,27.1086849,57.0849605,52.8,unknown,Unknown / unclassified,,False,True,True,True
node,13621203036,,27.1080584,57.083231,156.7,infrastructure_access,Infrastructure / access,barrier=gate,False,False,True,True
node,13621203037,,27.107533,57.0827145,233.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621203038,,27.1098169,57.0844692,100.7,infrastructure_access,Infrastructure / access,barrier=gate,False,False,True,True
node,13621203039,,27.1102387,57.0849607,154.7,infrastructure_access,Infrastructure / access,barrier=gate,False,False,True,True
node,13621203040,,27.1093822,57.0850369,75.2,unknown,Unknown / unclassified,,False,True,True,True
node,13621203041,,27.1109714,57.0841094,232.2,unknown,Unknown / unclassified,,False,False,True,True
node,13621203042,,27.1099823,57.0835626,150.4,unknown,Unknown / unclassified,,False,False,True,True
node,13621203043,,27.1099827,57.083543,151.7,unknown,Unknown / unclassified,,False,False,True,True
node,13621203044,,27.1098817,57.0835571,142.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621203045,,27.1098858,57.0835744,141.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621203046,,27.1099773,57.0835244,152.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621203047,,27.1099666,57.0835089,152.4,unknown,Unknown / unclassified,,False,False,True,True
node,13621203048,,27.1099518,57.0834984,151.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621203049,,27.1099348,57.0834941,150.6,unknown,Unknown / unclassified,,False,False,True,True
node,13621203050,,27.1099175,57.0834965,149.0,unknown,Unknown / unclassified,,False,False,True,True
node,13621203051,,27.1099019,57.0835054,147.2,unknown,Unknown / unclassified,,False,False,True,True
node,13621203052,,27.1098899,57.0835196,145.2,unknown,Unknown / unclassified,,False,False,True,True
node,13621203053,,27.1098829,57.0835375,143.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621203054,,27.1098945,57.0835895,141.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621203055,,27.1099069,57.0836008,141.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621203056,,27.1099219,57.0836072,142.4,unknown,Unknown / unclassified,,False,False,True,True
node,13621203057,,27.1099379,57.0836081,143.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621203058,,27.1099533,57.0836034,145.4,unknown,Unknown / unclassified,,False,False,True,True
node,13621203059,,27.1099667,57.0835935,147.2,unknown,Unknown / unclassified,,False,False,True,True
node,13621203060,,27.1099767,57.0835794,148.9,unknown,Unknown / unclassified,,False,False,True,True
