stage_key,stage_label,boundary_way_id,boundary_way_label,boundary_version,snapshot_timestamp,snapshot_timestamp_iso,boundary_area_sq_m,boundary_perimeter_m,element_type,osm_id,name,lat,lon,distance_to_boundary_centroid_m,building_tag,building_semantics,building_semantics_label,later_assignment,later_assignment_label,cde_category,tags_str,stage_rank
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1484791939,,27.1070091,57.084243,179.1,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,30
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1484791938,,27.1069772,57.0838716,192.9,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,31
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485797302,,27.1070553,57.0836786,193.1,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,32
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485771694,,27.1068442,57.0841565,198.8,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,33
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485771695,,27.1066873,57.0841182,216.6,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,34
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485178447,,27.1094226,57.0843711,95.2,yes,generic_building,Generic building,later_school_polygon,Later school polygon,unknown,building=yes,1
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1484791928,,27.1098534,57.0847538,141.5,school,school_related,School-related,later_school_polygon,Later school polygon,civilian_sensitive,building=school; damage=destroyed; damage:event=Iran War 2026; damage:type=war,2
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485178455,,27.1101181,57.0851867,179.9,yes,generic_building,Generic building,later_school_polygon,Later school polygon,unknown,building=yes,3
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485774435,,27.1086394,57.0847229,14.0,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,4
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485774434,,27.1086796,57.0847621,19.5,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,5
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485178446,,27.1090381,57.0848702,57.0,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,6
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1484791940,,27.108417,57.0852539,68.2,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes; damage=destroyed; damage:event=Iran War 2026; damage:type=war,7
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485797305,,27.107858,57.0847218,82.3,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,8
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485178449,,27.1082597,57.0853847,86.5,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,9
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1484791941,,27.1091252,57.0854278,101.9,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,10
