element_type,osm_id,name_pre,distance_m_pre,cde_category_pre,cde_label_pre,tags_pre,name_current,distance_m_current,cde_category_current,cde_label_current,tags_current,in_prestrike,in_current,status
node,8810994209,لوله و اتصالات ناظری,486.6,civilian_general,Civilian general,name=لوله و اتصالات ناظری; shop=yes,لوله و اتصالات ناظری,486.6,civilian_general,Civilian general,name=لوله و اتصالات ناظری; shop=yes,True,True,present_both
node,8810994213,تعمیرگاه جنوب,498.3,civilian_general,Civilian general,name=تعمیرگاه جنوب; shop=car_repair,تعمیرگاه جنوب,498.3,civilian_general,Civilian general,name=تعمیرگاه جنوب; shop=car_repair,True,True,present_both
node,8810994214,آهن آلات شیخ آبادی,380.1,civilian_general,Civilian general,name=آهن آلات شیخ آبادی; shop=yes,آهن آلات شیخ آبادی,380.1,civilian_general,Civilian general,name=آهن آلات شیخ آبادی; shop=yes,True,True,present_both
node,8810994215,اداره شیلات میناب,358.3,government_institutional,Government / institutional,name=اداره شیلات میناب; office=government,اداره شیلات میناب,358.3,government_institutional,Government / institutional,name=اداره شیلات میناب; office=government,True,True,present_both
node,8810994216,کلینیک کشاورزی مروارید,268.6,civilian_general,Civilian general,name=کلینیک کشاورزی مروارید; shop=agrarian,کلینیک کشاورزی مروارید,268.6,civilian_general,Civilian general,name=کلینیک کشاورزی مروارید; shop=agrarian,True,True,present_both
node,8819164501,,458.7,unknown,Unknown / unclassified,,,458.7,unknown,Unknown / unclassified,,True,True,present_both
node,8819164502,,431.6,unknown,Unknown / unclassified,,,431.6,unknown,Unknown / unclassified,,True,True,present_both
node,8819164504,,412.0,unknown,Unknown / unclassified,,,412.0,unknown,Unknown / unclassified,,True,True,present_both
node,8819164505,,498.2,unknown,Unknown / unclassified,,,498.2,unknown,Unknown / unclassified,,True,True,present_both
node,8819174917,,478.6,unknown,Unknown / unclassified,,,478.6,unknown,Unknown / unclassified,,True,True,present_both
node,8819174918,,447.8,unknown,Unknown / unclassified,,,447.8,unknown,Unknown / unclassified,,True,True,present_both
